Message,Category
Invoice for your order is available here: https://merchant-site.com/receipt,Transactional
Click here to win an iPhone: https://login-now-security.xyz,Spam
Limited time offer! Visit https://www.officialstore.com to grab your discount,Promotional
Final notice. Update your info: https://confirm-payee.click,Spam
Don't miss out! Sale ends soon at https://www.myntra.com,Promotional
You have successfully logged into your account.,Transactional
Thanks for your purchase. View invoice: https://cleartrip.com,Transactional
Introducing our new range. Learn more: https://www.officialstore.com,Promotional
Urgent: Your account will be blocked. Verify at https://secure-update.cards,Spam
Your dream vacation awaits! Book at https://amazon.in/sale,Promotional
Enjoy 30% off on all products. Shop now at https://amazon.in/sale,Promotional
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
Find your perfect gift at https://www.myntra.com,Promotional
You've won a prize! Claim now: https://winfreecash.com,Spam
Final notice. Update your info: https://netflix-support.com,Spam
Your package is waiting. Pay delivery fees at https://verify-now.online,Spam
Invoice for your order is available here: https://secure.bankportal.in/login,Transactional
Find your perfect gift at https://secure.bankportal.in/login,Promotional
Track your shipment here: https://amazon.in/sale,Transactional
Your package with tracking ID 496428 has been shipped.,Transactional
Enjoy 30% off on all products. Shop now at https://cleartrip.com,Promotional
Your dream vacation awaits! Book at https://cleartrip.com,Promotional
Urgent: Your account will be blocked. Verify at https://login-now-security.xyz,Spam
Urgent: Your account will be blocked. Verify at https://verify-now.online,Spam
Your booking is confirmed. View details: https://www.officialstore.com,Transactional
Your booking is confirmed. View details: https://www.myntra.com,Transactional
Track your shipment here: https://cleartrip.com,Transactional
Find your perfect gift at https://flipkart.com/deals,Promotional
Find your perfect gift at https://flipkart.com/deals,Promotional
You have successfully logged into your account.,Transactional
Your booking is confirmed. View details: https://www.airtel.in/recharge,Transactional
Check out our latest deals at https://amazon.in/sale,Promotional
Your payment of ₹6139 was successful.,Transactional
Your dream vacation awaits! Book at https://cleartrip.com,Promotional
Thanks for your purchase. View invoice: https://amazon.in/sale,Transactional
Visit our store: https://www.officialstore.com for more details,Promotional
Click here to win an iPhone: https://login-now-security.xyz,Spam
Enjoy 30% off on all products. Shop now at https://www.officialstore.com,Promotional
Track your shipment here: https://www.myntra.com,Transactional
You're selected! Redeem your reward at https://netflix-support.com,Spam
Urgent: Your account will be blocked. Verify at https://get-rich-fast.biz,Spam
Visit our store: https://flipkart.com/deals for more details,Promotional
"Login successful from new device. If not you, visit https://trip.com",Transactional
"Login successful from new device. If not you, visit https://secure.bankportal.in/login",Transactional
"Login successful from new device. If not you, visit https://www.myntra.com",Transactional
Reset your password now at https://verify-now.online,Spam
Don't miss out! Sale ends soon at https://trip.com,Promotional
Introducing our new range. Learn more: https://www.myntra.com,Promotional
Your booking is confirmed. View details: https://amazon.in/sale,Transactional
Upgrade your plan today: https://www.myntra.com,Promotional
Don't miss out! Sale ends soon at https://trip.com,Promotional
Confirm your payment details: https://get-rich-fast.biz,Spam
You're selected! Redeem your reward at https://login-now-security.xyz,Spam
Your package with tracking ID 326585 has been shipped.,Transactional
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
Visit our store: https://secure.bankportal.in/login for more details,Promotional
Your OTP is 466713. Do not share it with anyone.,Transactional
Find your perfect gift at https://www.myntra.com,Promotional
Don't miss out! Sale ends soon at https://cleartrip.com,Promotional
Confirm your payment details: https://get-rich-fast.biz,Spam
Thanks for your purchase. View invoice: https://www.airtel.in/recharge,Transactional
Exclusive deals available here: https://amazon.in/sale,Promotional
Your package is waiting. Pay delivery fees at https://urgentupdate.co,Spam
Reset your password now at https://confirm-payee.click,Spam
Limited time offer! Visit https://www.officialstore.com to grab your discount,Promotional
Your booking is confirmed. View details: https://amazon.in/sale,Transactional
Find your perfect gift at https://secure.bankportal.in/login,Promotional
Check out our latest deals at https://www.officialstore.com,Promotional
"Login successful from new device. If not you, visit https://secure.bankportal.in/login",Transactional
You're selected! Redeem your reward at https://secure-update.cards,Spam
Enjoy 30% off on all products. Shop now at https://merchant-site.com/receipt,Promotional
Your package is waiting. Pay delivery fees at https://winfreecash.com,Spam
"Login successful from new device. If not you, visit https://merchant-site.com/receipt",Transactional
Thanks for your purchase. View invoice: https://secure.bankportal.in/login,Transactional
Limited time offer! Visit https://merchant-site.com/receipt to grab your discount,Promotional
Earn money fast! Start today: https://login-now-security.xyz,Spam
Upgrade your plan today: https://www.airtel.in/recharge,Promotional
Thanks for your purchase. View invoice: https://www.myntra.com,Transactional
Don't miss out! Sale ends soon at https://bluedart.com/track,Promotional
Don't miss out! Sale ends soon at https://bluedart.com/track,Promotional
Your dream vacation awaits! Book at https://www.officialstore.com,Promotional
Earn money fast! Start today: https://confirm-payee.click,Spam
You have successfully logged into your account.,Transactional
Upgrade your plan today: https://secure.bankportal.in/login,Promotional
Visit our store: https://trip.com for more details,Promotional
"Login successful from new device. If not you, visit https://flipkart.com/deals",Transactional
Limited time offer! Visit https://www.airtel.in/recharge to grab your discount,Promotional
Urgent: Your account will be blocked. Verify at https://fakewebsite.com,Spam
Your package with tracking ID 729401 has been shipped.,Transactional
Thanks for your purchase. View invoice: https://cleartrip.com,Transactional
"Login successful from new device. If not you, visit https://amazon.in/sale",Transactional
Confirm your payment details: https://netflix-support.com,Spam
Don't miss out! Sale ends soon at https://www.airtel.in/recharge,Promotional
Exclusive deals available here: https://merchant-site.com/receipt,Promotional
Confirm your payment details: https://winfreecash.com,Spam
Your package is waiting. Pay delivery fees at https://fakewebsite.com,Spam
Limited time offer! Visit https://amazon.in/sale to grab your discount,Promotional
Find your perfect gift at https://secure.bankportal.in/login,Promotional
Introducing our new range. Learn more: https://www.myntra.com,Promotional
Click here to win an iPhone: https://verify-now.online,Spam
Upgrade your plan today: https://bluedart.com/track,Promotional
Reset your password now at https://get-rich-fast.biz,Spam
"Login successful from new device. If not you, visit https://merchant-site.com/receipt",Transactional
You have successfully logged into your account.,Transactional
Find your perfect gift at https://www.myntra.com,Promotional
Urgent: Your account will be blocked. Verify at https://get-rich-fast.biz,Spam
Introducing our new range. Learn more: https://www.officialstore.com,Promotional
Get free recharge. Click here: https://iphone14winner.com,Spam
Final notice. Update your info: https://urgentupdate.co,Spam
Urgent: Your account will be blocked. Verify at https://fakewebsite.com,Spam
Reset your password now at https://winfreecash.com,Spam
Don't miss out! Sale ends soon at https://cleartrip.com,Promotional
Earn money fast! Start today: https://fakewebsite.com,Spam
Final notice. Update your info: https://netflix-support.com,Spam
Visit our store: https://secure.bankportal.in/login for more details,Promotional
Invoice for your order is available here: https://www.officialstore.com,Transactional
You've won a prize! Claim now: https://iphone14winner.com,Spam
Enjoy 30% off on all products. Shop now at https://cleartrip.com,Promotional
Your dream vacation awaits! Book at https://trip.com,Promotional
Your package is waiting. Pay delivery fees at https://get-rich-fast.biz,Spam
You're selected! Redeem your reward at https://verify-now.online,Spam
Thanks for your purchase. View invoice: https://merchant-site.com/receipt,Transactional
Earn money fast! Start today: https://confirm-payee.click,Spam
"Login successful from new device. If not you, visit https://www.airtel.in/recharge",Transactional
Your OTP is 629828. Do not share it with anyone.,Transactional
Thanks for your purchase. View invoice: https://secure.bankportal.in/login,Transactional
"Login successful from new device. If not you, visit https://www.airtel.in/recharge",Transactional
Find your perfect gift at https://bluedart.com/track,Promotional
Upgrade your plan today: https://www.myntra.com,Promotional
Reset your password now at https://verify-now.online,Spam
Final notice. Update your info: https://netflix-support.com,Spam
Get free recharge. Click here: https://iphone14winner.com,Spam
"Login successful from new device. If not you, visit https://amazon.in/sale",Transactional
Track your shipment here: https://www.myntra.com,Transactional
Get free recharge. Click here: https://get-rich-fast.biz,Spam
Urgent: Your account will be blocked. Verify at https://iphone14winner.com,Spam
Your transaction ID is TXN722885. Please keep it for your records.,Transactional
Invoice for your order is available here: https://merchant-site.com/receipt,Transactional
Your package is waiting. Pay delivery fees at https://urgentupdate.co,Spam
Upgrade your plan today: https://www.officialstore.com,Promotional
Your booking is confirmed. View details: https://secure.bankportal.in/login,Transactional
Enjoy 30% off on all products. Shop now at https://cleartrip.com,Promotional
Don't miss out! Sale ends soon at https://www.airtel.in/recharge,Promotional
Your dream vacation awaits! Book at https://www.myntra.com,Promotional
Don't miss out! Sale ends soon at https://merchant-site.com/receipt,Promotional
Reset your password now at https://verify-now.online,Spam
Your booking is confirmed. View details: https://bluedart.com/track,Transactional
Don't miss out! Sale ends soon at https://merchant-site.com/receipt,Promotional
Limited time offer! Visit https://flipkart.com/deals to grab your discount,Promotional
Upgrade your plan today: https://amazon.in/sale,Promotional
You have successfully logged into your account.,Transactional
You have successfully logged into your account.,Transactional
Upgrade your plan today: https://www.airtel.in/recharge,Promotional
You've won a prize! Claim now: https://confirm-payee.click,Spam
Track your shipment here: https://www.myntra.com,Transactional
Your booking is confirmed. View details: https://www.myntra.com,Transactional
Enjoy 30% off on all products. Shop now at https://bluedart.com/track,Promotional
Your booking is confirmed. View details: https://www.officialstore.com,Transactional
Limited time offer! Visit https://cleartrip.com to grab your discount,Promotional
Your booking is confirmed. View details: https://secure.bankportal.in/login,Transactional
You have successfully logged into your account.,Transactional
You have successfully logged into your account.,Transactional
Upgrade your plan today: https://www.airtel.in/recharge,Promotional
Get free recharge. Click here: https://winfreecash.com,Spam
Limited time offer! Visit https://www.officialstore.com to grab your discount,Promotional
Limited time offer! Visit https://trip.com to grab your discount,Promotional
Final notice. Update your info: https://secure-update.cards,Spam
Earn money fast! Start today: https://urgentupdate.co,Spam
Confirm your payment details: https://netflix-support.com,Spam
Enjoy 30% off on all products. Shop now at https://flipkart.com/deals,Promotional
Click here to win an iPhone: https://fakewebsite.com,Spam
Enjoy 30% off on all products. Shop now at https://secure.bankportal.in/login,Promotional
Find your perfect gift at https://cleartrip.com,Promotional
Check out our latest deals at https://bluedart.com/track,Promotional
Introducing our new range. Learn more: https://amazon.in/sale,Promotional
Click here to win an iPhone: https://netflix-support.com,Spam
Your dream vacation awaits! Book at https://flipkart.com/deals,Promotional
Earn money fast! Start today: https://winfreecash.com,Spam
Final notice. Update your info: https://winfreecash.com,Spam
Earn money fast! Start today: https://get-rich-fast.biz,Spam
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
Your payment of ₹7600 was successful.,Transactional
Thanks for your purchase. View invoice: https://secure.bankportal.in/login,Transactional
Exclusive deals available here: https://www.officialstore.com,Promotional
Invoice for your order is available here: https://trip.com,Transactional
Visit our store: https://amazon.in/sale for more details,Promotional
Enjoy 30% off on all products. Shop now at https://cleartrip.com,Promotional
Limited time offer! Visit https://www.officialstore.com to grab your discount,Promotional
Urgent: Your account will be blocked. Verify at https://verify-now.online,Spam
Thanks for your purchase. View invoice: https://secure.bankportal.in/login,Transactional
Your package is waiting. Pay delivery fees at https://fakewebsite.com,Spam
Get free recharge. Click here: https://fakewebsite.com,Spam
Visit our store: https://www.officialstore.com for more details,Promotional
Your package is waiting. Pay delivery fees at https://winfreecash.com,Spam
Your dream vacation awaits! Book at https://www.myntra.com,Promotional
Reset your password now at https://fakewebsite.com,Spam
Your dream vacation awaits! Book at https://www.airtel.in/recharge,Promotional
Track your shipment here: https://cleartrip.com,Transactional
Track your shipment here: https://bluedart.com/track,Transactional
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional
Limited time offer! Visit https://www.airtel.in/recharge to grab your discount,Promotional
Get free recharge. Click here: https://get-rich-fast.biz,Spam
Don't miss out! Sale ends soon at https://bluedart.com/track,Promotional
Exclusive deals available here: https://cleartrip.com,Promotional
Confirm your payment details: https://urgentupdate.co,Spam
Reset your password now at https://fakewebsite.com,Spam
Your package is waiting. Pay delivery fees at https://login-now-security.xyz,Spam
Enjoy 30% off on all products. Shop now at https://amazon.in/sale,Promotional
Click here to win an iPhone: https://fakewebsite.com,Spam
Upgrade your plan today: https://bluedart.com/track,Promotional
Your dream vacation awaits! Book at https://bluedart.com/track,Promotional
Reset your password now at https://get-rich-fast.biz,Spam
Reset your password now at https://urgentupdate.co,Spam
Enjoy 30% off on all products. Shop now at https://secure.bankportal.in/login,Promotional
Track your shipment here: https://www.officialstore.com,Transactional
"Login successful from new device. If not you, visit https://amazon.in/sale",Transactional
Reset your password now at https://confirm-payee.click,Spam
Enjoy 30% off on all products. Shop now at https://www.airtel.in/recharge,Promotional
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional
Your OTP is 735700. Do not share it with anyone.,Transactional
You're selected! Redeem your reward at https://login-now-security.xyz,Spam
Introducing our new range. Learn more: https://merchant-site.com/receipt,Promotional
"Login successful from new device. If not you, visit https://bluedart.com/track",Transactional
Exclusive deals available here: https://merchant-site.com/receipt,Promotional
Check out our latest deals at https://trip.com,Promotional
Enjoy 30% off on all products. Shop now at https://www.myntra.com,Promotional
Introducing our new range. Learn more: https://merchant-site.com/receipt,Promotional
Limited time offer! Visit https://cleartrip.com to grab your discount,Promotional
You've won a prize! Claim now: https://secure-update.cards,Spam
Your OTP is 133230. Do not share it with anyone.,Transactional
Track your shipment here: https://secure.bankportal.in/login,Transactional
Your package is waiting. Pay delivery fees at https://secure-update.cards,Spam
Introducing our new range. Learn more: https://merchant-site.com/receipt,Promotional
Thanks for your purchase. View invoice: https://amazon.in/sale,Transactional
You're selected! Redeem your reward at https://urgentupdate.co,Spam
Visit our store: https://trip.com for more details,Promotional
Exclusive deals available here: https://www.myntra.com,Promotional
Your package is waiting. Pay delivery fees at https://netflix-support.com,Spam
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional
Don't miss out! Sale ends soon at https://flipkart.com/deals,Promotional
Your payment of ₹7300 was successful.,Transactional
Confirm your payment details: https://netflix-support.com,Spam
Check out our latest deals at https://bluedart.com/track,Promotional
You've won a prize! Claim now: https://confirm-payee.click,Spam
Click here to win an iPhone: https://urgentupdate.co,Spam
Your dream vacation awaits! Book at https://bluedart.com/track,Promotional
Visit our store: https://www.myntra.com for more details,Promotional
You're selected! Redeem your reward at https://urgentupdate.co,Spam
Limited time offer! Visit https://trip.com to grab your discount,Promotional
Visit our store: https://cleartrip.com for more details,Promotional
Visit our store: https://amazon.in/sale for more details,Promotional
Your transaction ID is TXN634934. Please keep it for your records.,Transactional
Invoice for your order is available here: https://flipkart.com/deals,Transactional
You've won a prize! Claim now: https://confirm-payee.click,Spam
Reset your password now at https://netflix-support.com,Spam
Invoice for your order is available here: https://bluedart.com/track,Transactional
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional
Your booking is confirmed. View details: https://amazon.in/sale,Transactional
Don't miss out! Sale ends soon at https://merchant-site.com/receipt,Promotional
Earn money fast! Start today: https://verify-now.online,Spam
Your package with tracking ID 323000 has been shipped.,Transactional
Exclusive deals available here: https://bluedart.com/track,Promotional
Visit our store: https://flipkart.com/deals for more details,Promotional
Upgrade your plan today: https://cleartrip.com,Promotional
Reset your password now at https://secure-update.cards,Spam
Your booking is confirmed. View details: https://merchant-site.com/receipt,Transactional
Final notice. Update your info: https://login-now-security.xyz,Spam
Upgrade your plan today: https://trip.com,Promotional
Find your perfect gift at https://cleartrip.com,Promotional
Upgrade your plan today: https://www.airtel.in/recharge,Promotional
Track your shipment here: https://amazon.in/sale,Transactional
Track your shipment here: https://www.myntra.com,Transactional
Your dream vacation awaits! Book at https://secure.bankportal.in/login,Promotional
Final notice. Update your info: https://confirm-payee.click,Spam
Check out our latest deals at https://bluedart.com/track,Promotional
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
Earn money fast! Start today: https://login-now-security.xyz,Spam
Thanks for your purchase. View invoice: https://www.officialstore.com,Transactional
"Login successful from new device. If not you, visit https://flipkart.com/deals",Transactional
Track your shipment here: https://www.officialstore.com,Transactional
Get free recharge. Click here: https://urgentupdate.co,Spam
Introducing our new range. Learn more: https://www.officialstore.com,Promotional
Your package is waiting. Pay delivery fees at https://urgentupdate.co,Spam
Thanks for your purchase. View invoice: https://www.myntra.com,Transactional
Don't miss out! Sale ends soon at https://merchant-site.com/receipt,Promotional
Exclusive deals available here: https://bluedart.com/track,Promotional
You have successfully logged into your account.,Transactional
Invoice for your order is available here: https://amazon.in/sale,Transactional
Your package is waiting. Pay delivery fees at https://secure-update.cards,Spam
Limited time offer! Visit https://trip.com to grab your discount,Promotional
Check out our latest deals at https://bluedart.com/track,Promotional
Limited time offer! Visit https://trip.com to grab your discount,Promotional
Introducing our new range. Learn more: https://www.airtel.in/recharge,Promotional
"Login successful from new device. If not you, visit https://cleartrip.com",Transactional
Enjoy 30% off on all products. Shop now at https://www.officialstore.com,Promotional
Earn money fast! Start today: https://secure-update.cards,Spam
Your package is waiting. Pay delivery fees at https://get-rich-fast.biz,Spam
Upgrade your plan today: https://bluedart.com/track,Promotional
Check out our latest deals at https://www.myntra.com,Promotional
Your transaction ID is TXN762140. Please keep it for your records.,Transactional
You're selected! Redeem your reward at https://secure-update.cards,Spam
You're selected! Redeem your reward at https://netflix-support.com,Spam
"Login successful from new device. If not you, visit https://flipkart.com/deals",Transactional
Invoice for your order is available here: https://merchant-site.com/receipt,Transactional
"Login successful from new device. If not you, visit https://www.myntra.com",Transactional
Urgent: Your account will be blocked. Verify at https://netflix-support.com,Spam
Find your perfect gift at https://trip.com,Promotional
Your payment of ₹4443 was successful.,Transactional
You've won a prize! Claim now: https://fakewebsite.com,Spam
Final notice. Update your info: https://urgentupdate.co,Spam
Get free recharge. Click here: https://confirm-payee.click,Spam
Your package is waiting. Pay delivery fees at https://winfreecash.com,Spam
Find your perfect gift at https://bluedart.com/track,Promotional
Check out our latest deals at https://trip.com,Promotional
Limited time offer! Visit https://amazon.in/sale to grab your discount,Promotional
Your package is waiting. Pay delivery fees at https://iphone14winner.com,Spam
Enjoy 30% off on all products. Shop now at https://secure.bankportal.in/login,Promotional
Upgrade your plan today: https://merchant-site.com/receipt,Promotional
Your package with tracking ID 117042 has been shipped.,Transactional
Your dream vacation awaits! Book at https://www.officialstore.com,Promotional
Reset your password now at https://verify-now.online,Spam
Thanks for your purchase. View invoice: https://merchant-site.com/receipt,Transactional
Enjoy 30% off on all products. Shop now at https://www.myntra.com,Promotional
Your payment of ₹4473 was successful.,Transactional
Click here to win an iPhone: https://winfreecash.com,Spam
Upgrade your plan today: https://bluedart.com/track,Promotional
Invoice for your order is available here: https://www.airtel.in/recharge,Transactional
Upgrade your plan today: https://www.airtel.in/recharge,Promotional
Get free recharge. Click here: https://netflix-support.com,Spam
Upgrade your plan today: https://amazon.in/sale,Promotional
Invoice for your order is available here: https://flipkart.com/deals,Transactional
Introducing our new range. Learn more: https://cleartrip.com,Promotional
Your dream vacation awaits! Book at https://cleartrip.com,Promotional
Your payment of ₹4231 was successful.,Transactional
Your package with tracking ID 405400 has been shipped.,Transactional
Your package is waiting. Pay delivery fees at https://secure-update.cards,Spam
Upgrade your plan today: https://www.officialstore.com,Promotional
Urgent: Your account will be blocked. Verify at https://login-now-security.xyz,Spam
Check out our latest deals at https://flipkart.com/deals,Promotional
Your package with tracking ID 914904 has been shipped.,Transactional
Introducing our new range. Learn more: https://amazon.in/sale,Promotional
You're selected! Redeem your reward at https://winfreecash.com,Spam
Click here to win an iPhone: https://netflix-support.com,Spam
Thanks for your purchase. View invoice: https://secure.bankportal.in/login,Transactional
Final notice. Update your info: https://iphone14winner.com,Spam
Your package is waiting. Pay delivery fees at https://iphone14winner.com,Spam
Your dream vacation awaits! Book at https://secure.bankportal.in/login,Promotional
Limited time offer! Visit https://amazon.in/sale to grab your discount,Promotional
Find your perfect gift at https://www.myntra.com,Promotional
Track your shipment here: https://cleartrip.com,Transactional
Earn money fast! Start today: https://winfreecash.com,Spam
Visit our store: https://www.myntra.com for more details,Promotional
Upgrade your plan today: https://www.airtel.in/recharge,Promotional
Thanks for your purchase. View invoice: https://flipkart.com/deals,Transactional
Invoice for your order is available here: https://secure.bankportal.in/login,Transactional
Introducing our new range. Learn more: https://www.airtel.in/recharge,Promotional
Reset your password now at https://login-now-security.xyz,Spam
Track your shipment here: https://trip.com,Transactional
Visit our store: https://amazon.in/sale for more details,Promotional
Get free recharge. Click here: https://winfreecash.com,Spam
Check out our latest deals at https://amazon.in/sale,Promotional
Introducing our new range. Learn more: https://www.myntra.com,Promotional
Invoice for your order is available here: https://www.myntra.com,Transactional
Invoice for your order is available here: https://www.airtel.in/recharge,Transactional
Your dream vacation awaits! Book at https://secure.bankportal.in/login,Promotional
Visit our store: https://bluedart.com/track for more details,Promotional
You're selected! Redeem your reward at https://secure-update.cards,Spam
Click here to win an iPhone: https://urgentupdate.co,Spam
Final notice. Update your info: https://netflix-support.com,Spam
Your booking is confirmed. View details: https://secure.bankportal.in/login,Transactional
Urgent: Your account will be blocked. Verify at https://fakewebsite.com,Spam
Enjoy 30% off on all products. Shop now at https://amazon.in/sale,Promotional
Introducing our new range. Learn more: https://trip.com,Promotional
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
You have successfully logged into your account.,Transactional
You're selected! Redeem your reward at https://login-now-security.xyz,Spam
Your package is waiting. Pay delivery fees at https://verify-now.online,Spam
Your payment of ₹4583 was successful.,Transactional
Exclusive deals available here: https://www.airtel.in/recharge,Promotional
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional
Track your shipment here: https://www.airtel.in/recharge,Transactional
Introducing our new range. Learn more: https://trip.com,Promotional
Your package is waiting. Pay delivery fees at https://secure-update.cards,Spam
You've won a prize! Claim now: https://verify-now.online,Spam
Don't miss out! Sale ends soon at https://amazon.in/sale,Promotional
Final notice. Update your info: https://fakewebsite.com,Spam
Track your shipment here: https://www.myntra.com,Transactional
Confirm your payment details: https://verify-now.online,Spam
Click here to win an iPhone: https://get-rich-fast.biz,Spam
Check out our latest deals at https://trip.com,Promotional
Earn money fast! Start today: https://fakewebsite.com,Spam
Your dream vacation awaits! Book at https://flipkart.com/deals,Promotional
Find your perfect gift at https://merchant-site.com/receipt,Promotional
You're selected! Redeem your reward at https://get-rich-fast.biz,Spam
Your booking is confirmed. View details: https://merchant-site.com/receipt,Transactional
"Login successful from new device. If not you, visit https://www.airtel.in/recharge",Transactional
Don't miss out! Sale ends soon at https://www.airtel.in/recharge,Promotional
Reset your password now at https://verify-now.online,Spam
Track your shipment here: https://www.airtel.in/recharge,Transactional
Click here to win an iPhone: https://winfreecash.com,Spam
Your OTP is 900413. Do not share it with anyone.,Transactional
"Login successful from new device. If not you, visit https://cleartrip.com",Transactional
Your package with tracking ID 311481 has been shipped.,Transactional
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
Check out our latest deals at https://bluedart.com/track,Promotional
You've won a prize! Claim now: https://netflix-support.com,Spam
Visit our store: https://www.airtel.in/recharge for more details,Promotional
Introducing our new range. Learn more: https://flipkart.com/deals,Promotional
Enjoy 30% off on all products. Shop now at https://cleartrip.com,Promotional
Find your perfect gift at https://trip.com,Promotional
Track your shipment here: https://bluedart.com/track,Transactional
Limited time offer! Visit https://www.airtel.in/recharge to grab your discount,Promotional
Urgent: Your account will be blocked. Verify at https://netflix-support.com,Spam
Your dream vacation awaits! Book at https://www.airtel.in/recharge,Promotional
Invoice for your order is available here: https://www.airtel.in/recharge,Transactional
Check out our latest deals at https://amazon.in/sale,Promotional
Your booking is confirmed. View details: https://flipkart.com/deals,Transactional
Confirm your payment details: https://get-rich-fast.biz,Spam
Final notice. Update your info: https://winfreecash.com,Spam
Thanks for your purchase. View invoice: https://merchant-site.com/receipt,Transactional
Visit our store: https://trip.com for more details,Promotional
Your dream vacation awaits! Book at https://amazon.in/sale,Promotional
Enjoy 30% off on all products. Shop now at https://www.officialstore.com,Promotional
Get free recharge. Click here: https://secure-update.cards,Spam
Reset your password now at https://verify-now.online,Spam
Your booking is confirmed. View details: https://amazon.in/sale,Transactional
Confirm your payment details: https://fakewebsite.com,Spam
Visit our store: https://merchant-site.com/receipt for more details,Promotional
Visit our store: https://bluedart.com/track for more details,Promotional
Click here to win an iPhone: https://secure-update.cards,Spam
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional
Limited time offer! Visit https://trip.com to grab your discount,Promotional
Upgrade your plan today: https://amazon.in/sale,Promotional
Limited time offer! Visit https://amazon.in/sale to grab your discount,Promotional
Final notice. Update your info: https://login-now-security.xyz,Spam
Reset your password now at https://confirm-payee.click,Spam
You've won a prize! Claim now: https://login-now-security.xyz,Spam
You're selected! Redeem your reward at https://netflix-support.com,Spam
Click here to win an iPhone: https://winfreecash.com,Spam
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional
